Target,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Standard,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
Standard,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
Target,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0
Standard,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
Target,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
Standard,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Target,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Target,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Standard,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
Standard,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
Target,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
Standard,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
Target,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
Standard,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
Standard,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Standard,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0
Standard,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
Standard,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
Standard,1.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0
Standard,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Target,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
